"ID","IssueID","BugFixCommitID","Filename","FunctionName","InFirstLineOfPatch","Language","RawURL"
113,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_fromUint32x4,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
114,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_add,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
115,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_sub,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
116,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_mul,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
117,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_neg,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
118,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_and,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
119,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_or,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
120,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_xor,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
121,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_not,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
122,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_lessThan,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
123,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_lessThanOrEqual,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
124,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_greaterThan,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
125,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_greaterThanOrEqual,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
126,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_equal,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
127,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_notEqual,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
128,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_extractLane,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
129,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_replaceLane,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
130,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_fromFloat64x2Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
131,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_fromFloat32x4Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
132,59442,83379,system/include/emscripten/vector.h,emscripten_int32x4_fromUint32x4Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
